id,created,product
1280331,2020-02-20 09:07:17 -0800,mobile
1280330,2020-02-20 09:05:35 -0800,firefox
1280329,2020-02-20 08:59:40 -0800,mobile
1280328,2020-02-20 08:56:49 -0800,mobile
1280327,2020-02-20 08:53:11 -0800,firefox
1280326,2020-02-20 08:48:19 -0800,firefox
1280325,2020-02-20 08:42:15 -0800,firefox
1280324,2020-02-20 08:31:04 -0800,thunderbird
1280323,2020-02-20 08:21:39 -0800,mobile
1280322,2020-02-20 08:21:31 -0800,firefox
1280321,2020-02-20 07:53:16 -0800,firefox
1280320,2020-02-20 07:44:34 -0800,firefox
1280319,2020-02-20 07:39:16 -0800,firefox
1280318,2020-02-20 07:27:00 -0800,firefox
1280317,2020-02-20 06:59:13 -0800,firefox
1280316,2020-02-20 06:58:52 -0800,thunderbird
1280315,2020-02-20 06:29:49 -0800,firefox
1280314,2020-02-20 06:11:22 -0800,firefox
1280313,2020-02-20 06:04:24 -0800,firefox
1280312,2020-02-20 06:02:10 -0800,thunderbird
1280311,2020-02-20 05:57:26 -0800,firefox
1280310,2020-02-20 05:50:11 -0800,firefox
1280309,2020-02-20 05:43:00 -0800,firefox
1280308,2020-02-20 05:42:11 -0800,thunderbird
1280307,2020-02-20 05:33:52 -0800,thunderbird
1280306,2020-02-20 05:01:20 -0800,firefox
1280305,2020-02-20 04:50:46 -0800,mobile
1280304,2020-02-20 04:23:21 -0800,mobile
1280303,2020-02-20 04:19:41 -0800,firefox
1280302,2020-02-20 04:17:37 -0800,thunderbird
1280301,2020-02-20 03:45:11 -0800,firefox
1280300,2020-02-20 03:07:24 -0800,firefox
1280299,2020-02-20 03:04:12 -0800,firefox
1280298,2020-02-20 02:53:03 -0800,firefox
1280297,2020-02-20 02:49:06 -0800,firefox
1280296,2020-02-20 02:49:05 -0800,firefox
